d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.14649] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.19506] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.19508] Success
d3d      D         d3d_disp.cpp:1691 d3d_create_display_internals     [   0.19510] Resumed after wait.
d3d      I         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.19512] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1755 d3d_create_display_internals     [   0.19513] Returning d3d_display: 0000000000F18B40
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.19514] al_display=0000000000F18B40
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.19514] al_display->vt=0000000000F189D0
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19568] PathFindOnPath failed to find d3dx9_43.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19594] PathFindOnPath failed to find d3dx9_42.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19621] PathFindOnPath failed to find d3dx9_41.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19646] PathFindOnPath failed to find d3dx9_40.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19670] PathFindOnPath failed to find d3dx9_39.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19694] PathFindOnPath failed to find d3dx9_38.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19719] PathFindOnPath failed to find d3dx9_37.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19744] PathFindOnPath failed to find d3dx9_36.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19768] PathFindOnPath failed to find d3dx9_35.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19794] PathFindOnPath failed to find d3dx9_34.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19818] PathFindOnPath failed to find d3dx9_33.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19843] PathFindOnPath failed to find d3dx9_32.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19867] PathFindOnPath failed to find d3dx9_31.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19892] PathFindOnPath failed to find d3dx9_30.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19916] PathFindOnPath failed to find d3dx9_29.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19944] PathFindOnPath failed to find d3dx9_28.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19968] PathFindOnPath failed to find d3dx9_27.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.19993] PathFindOnPath failed to find d3dx9_26.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.20017] PathFindOnPath failed to find d3dx9_25.dll
system   W            wsystem.c:792  _al_win_safe_load_library        [   0.20046] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.20047] Failed to load D3DX9 library. Library is not installed.
dtor     D               dtor.c:196  _al_register_destructor          [   0.20050] added dtor for bitmap 0000000002825EA0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20092] added dtor for bitmap 0000000002840B20, func 0000000061AC1BC7
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20206] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20207] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20208] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20208] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20208] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20208] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20209] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20209] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20209] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.20210] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.20210] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.20210] Found a format
d3d      I         d3d_disp.cpp:2377 d3d_create_bitmap                [   0.20211] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.20232] added dtor for bitmap 000000000285AAC0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20249] added dtor for sub_bitmap 000000000A493680, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20250] added dtor for sub_bitmap 000000000A493810, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20251] added dtor for sub_bitmap 000000000A4939A0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20251] added dtor for sub_bitmap 000000000A493B30, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20252] added dtor for sub_bitmap 000000000A493CC0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20252] added dtor for sub_bitmap 000000000A493E50, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20253] added dtor for sub_bitmap 000000000A493FE0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20253] added dtor for sub_bitmap 000000000A494170, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20254] added dtor for sub_bitmap 000000000A494300, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20254] added dtor for sub_bitmap 000000000A494490, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20254] added dtor for sub_bitmap 000000000A494620, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20255] added dtor for sub_bitmap 000000000285B920, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20255] added dtor for sub_bitmap 000000000285AE30, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20256] added dtor for sub_bitmap 000000000285AFC0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20256] added dtor for sub_bitmap 000000000285BAB0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20257] added dtor for sub_bitmap 000000000285B470, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20257] added dtor for sub_bitmap 000000000285B600, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20258] added dtor for sub_bitmap 000000000285B150, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20258] added dtor for sub_bitmap 000000000285B2E0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20258] added dtor for sub_bitmap 000000000285ACA0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20259] added dtor for sub_bitmap 000000000285B790, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20259] added dtor for sub_bitmap 000000000285CAC0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20260] added dtor for sub_bitmap 000000000285CC50, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20260] added dtor for sub_bitmap 000000000285CDE0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20261] added dtor for sub_bitmap 000000000285D290, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20261] added dtor for sub_bitmap 000000000285CF70, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20262] added dtor for sub_bitmap 000000000285D420, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20262] added dtor for sub_bitmap 000000000285BCB0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20263] added dtor for sub_bitmap 000000000285C160, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20263] added dtor for sub_bitmap 000000000285BE40, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20263] added dtor for sub_bitmap 000000000285C2F0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20264] added dtor for sub_bitmap 000000000285D8D0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20265] added dtor for sub_bitmap 000000000285BFD0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20265] added dtor for sub_bitmap 000000000285C480, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20266] added dtor for sub_bitmap 000000000285C610, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20266] added dtor for sub_bitmap 000000000285C7A0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20267] added dtor for sub_bitmap 000000000285C930, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20267] added dtor for sub_bitmap 000000000285D100, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20268] added dtor for sub_bitmap 000000000285D5B0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20268] added dtor for sub_bitmap 000000000285D740, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20269] added dtor for sub_bitmap 000000000285DA60, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20269] added dtor for sub_bitmap 000000000A495660, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20270] added dtor for sub_bitmap 000000000A496790, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20270] added dtor for sub_bitmap 000000000A495FC0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20271] added dtor for sub_bitmap 000000000A496920, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20271] added dtor for sub_bitmap 000000000A496150, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20272] added dtor for sub_bitmap 000000000A4957F0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20272] added dtor for sub_bitmap 000000000A496AB0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20272] added dtor for sub_bitmap 000000000A495020, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20273] added dtor for sub_bitmap 000000000A495980, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20273] added dtor for sub_bitmap 000000000A496DD0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20274] added dtor for sub_bitmap 000000000A495340, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20274] added dtor for sub_bitmap 000000000A496470, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20275] added dtor for sub_bitmap 000000000A4962E0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20275] added dtor for sub_bitmap 000000000A495CA0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20276] added dtor for sub_bitmap 000000000A495E30, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20276] added dtor for sub_bitmap 000000000A496C40, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20276] added dtor for sub_bitmap 000000000A496600, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20277] added dtor for sub_bitmap 000000000A4951B0, func 0000000061AC1BC7
dtor     D               dtor.c:196  _al_register_destructor          [   0.20280] added dtor for sub_bitmap 000000000A4954D0, func 0000000061AC1BC7
